V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,target
0.5660000000000001,0.016,-0.14300000000000002,0.40700000000000003,0.452,-0.9009999999999999,-1.8119999999999998,-2.36,-0.436,-2.114,-0.94,-0.307,-0.073,0.55,-0.484,0.0,-1.7069999999999999,-1.162,-0.573,-0.991,0.61,-0.4,-0.063,0.35600000000000004,0.8,-0.223,0.7959999999999999,0.168,-0.45,0.136,0.109,-0.615,0.327,-4.627,-4.789,-5.101,-2.608,-3.508,0.175
0.968,0.43700000000000006,0.066,0.5660000000000001,0.19399999999999998,-0.893,-1.5659999999999998,-2.36,0.332,-2.114,0.188,-0.455,-0.134,1.109,-0.488,0.0,-0.977,-1.162,-0.5710000000000001,-0.836,0.588,-0.802,-0.063,0.35700000000000004,0.8009999999999999,-0.14400000000000002,1.057,0.33799999999999997,0.6709999999999999,-0.128,0.124,0.032,0.6,-0.843,0.16,0.364,-0.335,-0.73,0.6759999999999999
1.013,0.568,0.235,0.37,0.11199999999999999,-0.797,-1.367,-2.36,0.396,-2.114,0.8740000000000001,-0.051,-0.07200000000000001,0.767,-0.493,-0.212,-0.618,-0.897,-0.564,-0.5579999999999999,0.5760000000000001,-0.47700000000000004,-0.063,0.355,0.961,-0.067,0.915,0.326,1.287,-0.009000000000000001,0.361,0.27699999999999997,-0.11599999999999999,-0.843,0.16,0.364,0.765,-0.589,0.633
0.733,0.368,0.28300000000000003,0.165,0.599,-0.679,-1.2,-2.086,0.40299999999999997,-2.114,0.011000000000000001,0.102,-0.013999999999999999,0.769,-0.371,-0.162,-0.429,-0.897,-0.574,-0.564,0.272,-0.491,-0.063,0.35200000000000004,1.435,0.113,0.898,0.27699999999999997,1.298,0.015,0.41700000000000004,0.27899999999999997,0.603,-0.843,-0.065,0.364,0.33299999999999996,-0.11199999999999999,0.20600000000000002
0.684,0.638,0.26,0.209,0.337,-0.45399999999999996,-1.073,-2.086,0.314,-2.114,-0.251,0.57,0.19899999999999998,-0.349,-0.342,-0.138,-0.391,-0.897,-0.5720000000000001,-0.39399999999999996,0.106,0.309,-0.259,0.35200000000000004,0.8809999999999999,0.221,0.386,0.332,1.2890000000000001,0.183,1.078,0.32799999999999996,0.418,-0.843,-0.215,0.364,-0.28,-0.027999999999999997,0.384
0.445,0.627,0.408,0.22,0.45799999999999996,-1.056,-1.0090000000000001,-1.896,0.48100000000000004,-2.114,-0.511,-0.564,0.294,0.912,-0.345,0.111,-0.33299999999999996,-1.0290000000000001,-0.573,-0.516,0.028999999999999998,-0.56,-0.096,0.349,0.7979999999999999,0.245,0.643,0.35600000000000004,1.296,0.45399999999999996,0.674,0.358,0.618,-0.843,-0.29,0.364,-0.191,-0.883,0.06
0.889,0.41600000000000004,0.64,0.35600000000000004,0.22399999999999998,-0.893,-0.812,-1.8230000000000002,0.7290000000000001,-2.114,-0.256,-0.278,0.425,0.632,-0.3,0.111,-0.33299999999999996,-1.4280000000000002,-0.586,-0.544,0.156,-0.34,-0.063,0.35200000000000004,0.8009999999999999,0.389,0.5,0.401,2.15,0.45399999999999996,0.081,0.243,0.46799999999999997,-0.843,-0.29,0.364,-0.155,-1.318,0.415
0.9840000000000001,0.529,0.7040000000000001,0.43799999999999994,0.258,-0.917,-0.682,-1.7209999999999999,0.753,-2.114,-0.067,-0.24,0.272,0.78,-0.387,0.244,0.065,-1.162,-0.579,-0.465,0.254,-0.442,-0.259,0.366,0.7979999999999999,0.56,0.423,0.409,2.153,0.139,-0.05,0.428,-0.11900000000000001,-0.843,-0.29,0.364,0.1,-0.899,0.609
0.948,0.85,0.584,0.45899999999999996,0.591,-0.523,-0.591,-1.524,0.763,-2.114,0.205,0.42200000000000004,0.387,-0.28800000000000003,-0.264,0.293,0.166,-1.162,-0.5660000000000001,-0.17300000000000001,0.25,0.31,-0.259,0.366,0.7979999999999999,0.5770000000000001,-0.035,0.49,0.511,0.188,0.467,0.597,-0.057,-0.843,-0.29,0.364,0.053,-0.5529999999999999,0.981
1.157,1.055,0.638,0.617,1.483,-0.731,-0.612,-1.524,0.968,-2.114,0.145,0.179,0.688,-0.14,-0.289,0.317,0.195,-0.897,-0.5670000000000001,-0.557,0.263,0.24100000000000002,-0.259,0.358,-0.612,0.493,-0.172,0.512,0.511,0.86,0.456,0.9159999999999999,0.039,-0.843,-0.29,0.364,0.151,-1.157,0.818
