V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37
0.24086121,0.27017045,0.47551216,0.31966318,0.30103620,0.52040434,0.57286355,0.61412575,0.38647830,0.24244341,0.77825735,0.38179848,0.34901560,0.31300813,0.60682226,0.59775530,0.51662520,0.74994113,0.62495326,0.61976174,0.42081709,0.54243166,0.61332154,0.20810956,0.43084683,0.67679409,0.26926396,0.36237434,0.72065860,0.59316604,0.35853252,0.33384146,0.32071960,1.00000000,1.00000000,0.92592593,1.00000000,0.98159879
0.17859356,0.21036932,0.44206146,0.29486980,0.33575562,0.51740921,0.53484778,0.61412575,0.27576762,0.24244341,0.62611276,0.41386782,0.35681411,0.22211382,0.60762019,0.59775530,0.43406469,0.74994113,0.62470398,0.59803784,0.42399307,0.62443900,0.61332154,0.20797530,0.43058136,0.66967184,0.23708544,0.28099569,0.56290459,0.62840363,0.35644803,0.25165142,0.27838089,0.62504954,0.50005051,0.24441950,0.71029824,0.56259427
0.17162330,0.19176136,0.41501280,0.32543271,0.34679047,0.48146762,0.50409519,0.61412575,0.26654173,0.24244341,0.53358511,0.32632719,0.34888775,0.27772358,0.60861759,0.62713039,0.39346302,0.68754415,0.62383148,0.55907498,0.42572542,0.55813953,0.61332154,0.20824382,0.38810725,0.66272990,0.25459253,0.28674007,0.47621728,0.61252002,0.32351306,0.22052846,0.38942308,0.62504954,0.50005051,0.24441950,0.57009941,0.54132730
0.21499380,0.22017045,0.40733035,0.35739903,0.28125421,0.43728940,0.47828775,0.57479185,0.26553265,0.24244341,0.64998651,0.29317443,0.34147277,0.27739837,0.58428087,0.62020230,0.37208776,0.68754415,0.62507790,0.55991591,0.46961166,0.56099551,0.61332154,0.20864662,0.26227767,0.64650198,0.25668845,0.31019627,0.47466929,0.60931660,0.31573096,0.22027439,0.27791563,0.62504954,0.52278008,0.24441950,0.62515932,0.46938160
0.22258364,0.18181818,0.41101152,0.35053797,0.31651191,0.35305129,0.45866172,0.57479185,0.27836240,0.24244341,0.68532506,0.19176598,0.31424188,0.45918699,0.57849591,0.61687682,0.36779009,0.68754415,0.62482862,0.53608970,0.49357586,0.39779682,0.67108753,0.20864662,0.40934431,0.63676524,0.31981260,0.28386788,0.47593583,0.58689269,0.22387437,0.21404980,0.30660670,0.62504954,0.53793312,0.24441950,0.70328830,0.45671192
0.25960347,0.18338068,0.38732394,0.34882270,0.30022877,0.57843504,0.44877144,0.54751651,0.25428860,0.24244341,0.72039385,0.43748646,0.30209665,0.25414634,0.57909435,0.58237495,0.36123049,0.71862491,0.62495326,0.55318851,0.50469179,0.57507140,0.62304745,0.20904941,0.43137775,0.63460151,0.28812723,0.27237913,0.47495075,0.55072077,0.28001668,0.21023882,0.27558933,0.62504954,0.54550965,0.24441950,0.69194494,0.58567119
0.19083024,0.21335227,0.35019206,0.32761578,0.33171848,0.51740921,0.41832792,0.53703704,0.21853827,0.24244341,0.68599946,0.37551463,0.28534902,0.29967480,0.57011769,0.58237495,0.36123049,0.81257358,0.62657360,0.55711282,0.48635773,0.53019176,0.61332154,0.20864662,0.43058136,0.62161918,0.30575761,0.25083772,0.35477062,0.55072077,0.36242357,0.22484756,0.29885236,0.62504954,0.54550965,0.24441950,0.68735661,0.65128205
0.17611524,0.19730114,0.33994878,0.31482925,0.32714305,0.52639461,0.39823829,0.52239449,0.21507856,0.24244341,0.66050715,0.36728061,0.30490923,0.27560976,0.58747257,0.56394624,0.31621805,0.74994113,0.62570111,0.54604064,0.47221019,0.55099959,0.67108753,0.20676692,0.43137775,0.60620267,0.31525089,0.24700814,0.35434844,0.59276562,0.38062813,0.20134654,0.38988834,0.62504954,0.54550965,0.24441950,0.65485598,0.58808446
0.18169145,0.15170455,0.35915493,0.31155465,0.28233078,0.37888431,0.38417555,0.49411427,0.21363702,0.24244341,0.62381980,0.22383532,0.29020711,0.44926829,0.56293637,0.55715671,0.30479530,0.74994113,0.62408077,0.50511563,0.47278764,0.39759282,0.67108753,0.20676692,0.43137775,0.60467003,0.37171742,0.20823360,0.58542077,0.58622531,0.30878266,0.17987805,0.38027295,0.62504954,0.54550965,0.24441950,0.66084629,0.53589744
0.14931846,0.12258523,0.35051216,0.28691720,0.16229310,0.45675777,0.38742080,0.49411427,0.18408534,0.24244341,0.63191260,0.27648971,0.25172590,0.42520325,0.56792340,0.55383123,0.30151549,0.68754415,0.62420541,0.55893483,0.47091093,0.41166871,0.67108753,0.20784103,0.80568091,0.61224306,0.38860806,0.19770225,0.58542077,0.49652963,0.31031128,0.13935467,0.36538462,0.62504954,0.54550965,0.24441950,0.64835585,0.62699849
0.15566914,0.11448864,0.35467350,0.28348667,0.23819136,0.51815799,0.39422037,0.47889750,0.19518524,0.24244341,0.63501484,0.37486457,0.20122731,0.33268293,0.56134051,0.45683802,0.30536078,0.70308453,0.62520254,0.53426769,0.47711852,0.49612403,0.67108753,0.20663265,0.99150518,0.62811035,0.40870423,0.19339397,0.65142133,0.49652963,0.38715953,0.15472561,0.44153226,0.62504954,0.54550965,0.24441950,0.67448381,0.51674208
0.15923172,0.11335227,0.36907810,0.25884921,0.23361593,0.41482591,0.38417555,0.47487798,0.17312959,0.24244341,0.54127327,0.22188516,0.15149578,0.47560976,0.57650110,0.44367466,0.29167609,0.73958088,0.62433005,0.40939033,0.48347048,0.22501020,0.67108753,0.33888292,0.99177064,0.63261810,0.43397855,0.28674007,0.55277231,0.39054992,0.26876042,0.14100610,0.46867246,0.62504954,0.75007577,0.32585110,0.67448381,0.44057315
0.42642503,0.40866477,0.52848912,0.19694371,0.38473960,0.39722950,0.41322825,0.46913580,0.47268272,0.24244341,0.64809819,0.20390033,0.39324981,0.41853659,0.58428087,0.37716503,0.29043203,0.68754415,0.62619968,0.41555711,0.60256965,0.00000000,0.61332154,0.33901719,0.99203610,0.65173098,0.42645790,0.57300144,0.63073459,0.36131874,0.45886604,0.37627033,0.48247519,0.62504954,0.75007577,0.32585110,0.61534540,0.17541478
0.48327138,0.46321023,0.52528809,0.20286917,0.43224331,0.47734931,0.44552619,0.48535745,0.60443996,0.24244341,0.86768276,0.30747562,0.43569420,0.30991870,0.59046479,0.31176389,0.42863606,0.68754415,0.54555652,0.42158374,0.61281940,0.10179519,0.61332154,0.34062836,0.99203610,0.67120447,0.39945753,0.52943992,0.72164368,0.36131874,0.37048360,0.48475610,0.45083747,0.58521601,0.60895040,0.40740741,0.76153454,0.25429864
0.36477695,0.30767045,0.49599872,0.23655076,0.33844705,0.41145638,0.46314325,0.48535745,0.46590745,0.24244341,0.78688967,0.22448537,0.29621580,0.33154472,0.57789747,0.31176389,0.44514816,0.68754415,0.71606631,0.42536790,0.58380251,0.09914321,0.67108753,0.46186896,0.99230157,0.68139199,0.38910122,0.48252753,0.72164368,0.34410037,0.39202335,0.36966463,0.39779777,0.62693222,0.62359834,0.46290061,0.82436911,0.31070890
0.46762701,0.42258523,0.55745839,0.23655076,0.43506930,0.42792961,0.48524185,0.50990525,0.58079862,0.24244341,0.68519018,0.25568797,0.37126055,0.31382114,0.56173948,0.32340308,0.46618412,0.68754415,0.71506918,0.46573231,0.62075935,0.12668299,0.67108753,0.46227175,0.99230157,0.70041471,0.39970411,0.63666826,0.47579510,0.35304325,0.30892162,0.45464939,0.33049007,0.63069758,0.63077078,0.48148148,0.66135611,0.19894419
0.39095415,0.34147727,0.50128041,0.23483549,0.40142646,0.36578061,0.49219595,0.51737008,0.48291769,0.24244341,0.75020232,0.16619718,0.29404244,0.44926829,0.55914622,0.37245393,0.48902963,0.68754415,0.71681416,0.39677645,0.57860546,0.02427581,0.67108753,0.46186896,0.99336342,0.70807789,0.44470472,0.51364289,0.47593583,0.35945008,0.18343524,0.39964431,0.30164392,0.71591359,0.60228306,0.55555556,0.84743819,0.33981900
0.50789963,0.49090909,0.54625480,0.25884921,0.47194187,0.43317110,0.51166744,0.52784955,0.65950699,0.24244341,0.77515511,0.26153846,0.41523907,0.30650407,0.56293637,0.37245393,0.51662520,0.74994113,0.71631559,0.42298528,0.63043164,0.13627091,0.61332154,0.46321160,0.58136448,0.72069960,0.43040316,0.60651029,0.47621728,0.44954618,0.34949972,0.52388211,0.31094913,0.71591359,0.60228306,0.55555556,0.68429773,0.29879336
0.42735440,0.31676136,0.46206786,0.25354748,0.39187189,0.52265069,0.50965848,0.54493253,0.51347845,0.24244341,0.78823847,0.38158180,0.31552033,0.19024390,0.56812288,0.49785229,0.51130966,0.74994113,0.71220242,0.44232656,0.56691208,0.22378621,0.61332154,0.46401719,0.58136448,0.71700325,0.42325237,0.47774055,0.47607656,0.50000000,0.34672040,0.38351118,0.21603598,0.71591359,0.60228306,0.55555556,0.81289829,0.45203620
0.27044610,0.21250000,0.39356594,0.23826602,0.34409904,0.78172969,0.48802349,0.54493253,0.37018884,0.24244341,0.78635015,0.61256771,0.27218103,0.21983740,0.56313585,0.50561175,0.46697580,0.74994113,0.60201919,0.45325858,0.50194890,0.18910649,0.77777778,0.34156821,0.58162994,0.69960332,0.44125262,0.39253231,0.47635801,0.58956220,0.39077265,0.29916159,0.22983871,0.60225922,0.57389635,0.40740741,0.78116238,0.53333333
0.29584882,0.21775568,0.37403969,0.19881491,0.36657247,0.66491951,0.46700665,0.53947746,0.41184950,0.24244341,0.66630699,0.50335861,0.28176937,0.21593496,0.55376022,0.59013440,0.44537435,0.77089710,0.60189455,0.45255781,0.49473076,0.18196654,0.64073092,0.34277658,0.58162994,0.68544897,0.41351251,0.38583054,0.47663946,0.59383342,0.45344636,0.30182927,0.34506824,0.60225922,0.57157289,0.40740741,0.67830742,0.57013575
0.33488228,0.25923295,0.39596671,0.18602838,0.39160275,0.58667166,0.45170762,0.53387884,0.43159867,0.24244341,0.62381980,0.43315276,0.31398619,0.17024390,0.56892081,0.63253429,0.42388600,0.81257358,0.21899539,0.44498949,0.52345893,0.21929825,0.61332154,0.29752954,0.43350146,0.67571223,0.38047097,0.44471039,0.47663946,0.64135077,0.45205670,0.31364329,0.45269851,0.22730876,0.25002526,0.48883901,0.63357125,0.47104072
0.27137546,0.20440341,0.33690781,0.17105879,0.35217333,0.46274803,0.43007263,0.52598335,0.30935563,0.24244341,0.66684651,0.29989166,0.33047814,0.20357724,0.56233792,0.63253429,0.39742140,0.74994113,0.10245544,0.48759636,0.51696261,0.17095063,0.67108753,0.36815252,0.43137775,0.66723765,0.34212797,0.36045955,0.47663946,0.66537640,0.49332963,0.26308435,0.51008065,0.16478399,0.39771694,0.40740741,0.72801427,0.57677225
0.35068154,0.32144886,0.39452625,0.17838765,0.35647961,0.37626357,0.40936486,0.50746483,0.41631829,0.24244341,0.67372538,0.19696641,0.34415750,0.23837398,0.57630162,0.65775253,0.38317123,0.74994113,0.04599277,0.50932025,0.57080987,0.13667891,0.67108753,0.36412460,0.43084683,0.64650198,0.32240168,0.45811393,0.47649873,0.66537640,0.49888827,0.31504065,0.51985112,0.07273088,0.12506314,0.40740741,0.68289574,0.40558069
0.64265799,0.65099432,0.52736876,0.31529705,0.56089355,0.39348559,0.41616443,0.50746483,0.72062851,0.24244341,0.44591314,0.24095341,0.55152135,0.23447154,0.55136645,0.64181793,0.41540375,0.43748528,0.54692758,0.48086896,0.72773206,0.15197878,0.67108753,0.34062836,0.43058136,0.65614858,0.33571693,0.74820488,0.47706164,0.59610251,0.46206226,0.59006606,0.52465881,0.29548157,0.37316901,0.32585110,0.41791996,0.18159879
